file,class,method,variable,usage
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorClass.java,CalculatorClass,"divideExact/2[int,int]",x,0
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorClass.java,CalculatorClass,"divideExact/2[int,int]",y,0
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorClass.java,CalculatorClass,"addExact/2[int,int]",x,0
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorClass.java,CalculatorClass,"addExact/2[int,int]",y,0
D:\JavaProjects\MathTestingProject\src\main\java\TestRunner.java,TestRunner,main/1[java.lang.String[]],args,0
D:\JavaProjects\MathTestingProject\src\main\java\TestRunner.java,TestRunner,main/1[java.lang.String[]],result,2
D:\JavaProjects\MathTestingProject\src\main\java\TestRunner.java,TestRunner,main/1[java.lang.String[]],failure,1
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorMockTests.java,CalculatorMockTests,addExactTest/0,actual,1
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorMockTests.java,CalculatorMockTests,addExactTest/0,expected,1
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorTests.java,CalculatorTests,divideIntegerTest/0,actual,1
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorTests.java,CalculatorTests,divideIntegerTest/0,expected,1
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorTests.java,CalculatorTests,addNumberExceptionTest/0,thrown,0
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorTests.java,CalculatorTests,divideByZeroExceptionTest/0,thrown,0
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorTests.java,CalculatorTests,addNumberTest/0,actual,1
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorTests.java,CalculatorTests,addNumberTest/0,expected,1
D:\JavaProjects\MathTestingProject\src\main\java\Main.java,Main,main/1[java.lang.String[]],args,0
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorProgram.java,CalculatorProgram,CalculatorProgram/1[CalculatorClass],calculationBackend,2
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorProgram.java,CalculatorProgram,"divideExact/2[int,int]",x,1
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorProgram.java,CalculatorProgram,"divideExact/2[int,int]",y,1
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorProgram.java,CalculatorProgram,"addExact/2[int,int]",x,1
D:\JavaProjects\MathTestingProject\src\main\java\CalculatorProgram.java,CalculatorProgram,"addExact/2[int,int]",y,1
